@@,itemlabel,item,startdate,enddate
+++,Adnan Adıvar,Q359364,1920-05-03,1921-03-10
+++,Refik Saydam,Q983535,1921-03-10,1921-12-20
+++,Rıza Nur,Q1747863,1921-12-24,1923-10-27
+++,Refik Saydam,Q983535,1923-10-30,1924-11-21
+++,Mazhar Germen,Q12810767,1924-11-22,1925-03-03
+++,Refik Saydam,Q983535,1925-03-04,1937-10-25
+++,Ahmet Hulusi Alataş,Q6060903,1937-10-25,1945-01-18
+++,Sadi Konuk,Q6052639,1945-01-18,1946-08-05
+++,Behçet Uz,Q6096236,1946-08-07,1948-06-10
+++,Kemali Bayazıt,Q6052172,1948-06-10,1950-05-22
+++,Nihat Reşat Belger,Q6038711,1950-05-22,1950-09-19
+++,Ekrem Hayri Üstündağ,Q6036331,1950-09-20,1954-05-17
+++,Behçet Uz,Q6096236,1954-05-18,1955-12-09
+++,Nafiz Körez,Q6029860,1955-12-09,1957-11-25
+++,Lütfi Kırdar,Q4984729,1957-11-26,1960-05-27
+++,Nusret Karasu,Q6096128,1960-05-27,1960-08-25
+++,Nusret Hasan Fişek,Q7070375,1960-08-25,1960-09-05
+++,Salih Ragıp Üner,Q6055764,1960-09-05,1961-11-20
+++,Süleyman Suat Seren,Q6031831,1961-11-20,1962-06-26
+++,Yusuf Azizoğlu,Q6505627,1962-06-26,1963-10-26
+++,Fahrettin Kerim Gökay,Q6089549,1963-11-05,1963-12-26
+++,Kemal Demir,Q6077307,1963-12-26,1965-02-20
+++,Faruk Sükan,Q6095098,1965-02-20,1965-10-27
+++,Edip Somunoğlu,Q6051421,1965-10-27,1967-04-01
+++,Vedat Ali Özkan,Q6055302,1967-04-01,1971-03-12
->,Türkân Akyol->Türkan Akyol,Q4310486,1971-03-25->1971-03-26,1971-12-13->1971-12-11
+++,Cevdet Aykan,Q6035858,1971-12-11,1972-05-22
+++,Kemal Demir,Q6077307,1972-05-22,1973-04-15
+++,Vefa Tanır,Q6079576,1973-04-15,1974-01-26
+++,Selahattin Cizrelioğlu,Q6029746,1974-01-26,1974-11-17
+++,Kemal Demir,Q6077307,1974-11-17,1977-04-18
+++,Vefa Tanır,Q6079576,1977-04-18,1977-06-21
+++,Celal Ertuğ,Q6042271,1977-06-21,1977-07-21
+++,Cengiz Gökçek,Q6039830,1977-07-21,1978-01-05
+++,Mete Tan,Q6042906,1978-01-05,1979-11-12
+++,Münif İslamoğlu,Q6049358,1979-11-12,1980-09-12
->,"Mehmet Aydın (siyasetçi, 1928)->Mehmet Aydın",Q6044111,1983-12-13,1986-10-17
->,Rifat Serdaroğlu->Rıfat Serdaroğlu,Q6058670,1993-06-25,1993-11-28
->,Recep Akdağ,Q713551,2011-07-06->2002-11-19,2013-01-24
